feat,lrp
TFs_and_others_ZNF384,-0.0001234616397295271
TFs_and_others_ZNF460,-8.846286986181429e-05
TFs_and_others_FOXF1,-8.88475233099601e-05
TFs_and_others_CCNT2,-5.91871690453857e-05
TFs_and_others_NCOR1,-0.00010227843821831819
TFs_and_others_ZHX3,-8.431675369368426e-05
TFs_and_others_NKX2-3,-7.504284830033676e-05
TFs_and_others_RNF2,-9.976642775143511e-05
TFs_and_others_HOXA5,-7.22494734283378e-05
Histone_H3R26cit,-7.962130494625685e-05
TFs_and_others_ZNF138,-8.278686824814142e-05
TFs_and_others_LMNB1,-9.077927503815231e-05
Histone_H3ac,-0.00012386094922447755
TFs_and_others_FOXH1,-9.870514435977358e-05
TFs_and_others_ELF4,-6.818814856007332e-05
TFs_and_others_DCP2,-7.927969014680445e-05
TFs_and_others_PHF19,-7.220385202191431e-05
TFs_and_others_KLF3,-8.705424183547676e-05
TFs_and_others_GATA1,-0.00012259543302501504
TFs_and_others_LHX6,-8.816531146164062e-05
TFs_and_others_ZNF133,-7.577159477771622e-05
TFs_and_others_ZNF343,-7.208521321419974e-05
TFs_and_others_FOXC2,-6.191835962007596e-05
TFs_and_others_SUMO2,-7.286562944419229e-05
TFs_and_others_ZNF883,-8.200473794355427e-05
TFs_and_others_NCOA4,-5.7564129102683425e-05
TFs_and_others_ZBTB9,-5.696637788784833e-05
TFs_and_others_MBD1,-5.0039860496820845e-05
TFs_and_others_GFI1B,-6.0159991551042e-05
Histone_H3.3 K27M mutant,-5.225990593649636e-05
TFs_and_others_ZNF334,-5.71348607113794e-05
TFs_and_others_NR4A1,-6.068192361377255e-05
TFs_and_others_GLI4,-5.339688176832397e-05
TFs_and_others_KLF10,-5.169481259688349e-05
TFs_and_others_REL,-4.8408922197893165e-05
Histone_H3R3me2,-5.587801503970203e-05
TFs_and_others_ZNF596,-5.2924455595915185e-05
TFs_and_others_ZNF347,-5.6092540350841855e-05
TFs_and_others_Cyclobutane pyrimidine dimers,-6.0582714962996484e-05
TFs_and_others_ZNF761,-5.853437590545851e-05
TFs_and_others_AATF,-6.886698270385166e-05
TFs_and_others_CUL4A,-5.742810524106045e-05
TFs_and_others_TCF7,-8.087265176982265e-05
TFs_and_others_FXR2,-6.009896117464987e-05
TFs_and_others_TFAM,-6.82797038966419e-05
TFs_and_others_MYF5,-4.586411763155434e-05
TFs_and_others_ORC1,-6.245394130863508e-05
TFs_and_others_POGZ,-5.041457259138304e-05
TFs_and_others_TCEA2,-7.010667255151048e-05
TFs_and_others_RIOK2,-5.444393221241066e-05
TFs_and_others_NCOR2,-6.385923352673709e-05
TFs_and_others_MAPK14,-6.026856518989434e-05
TFs_and_others_YEATS2,-6.425836688145918e-05
TFs_and_others_PIAS4,-7.058837857826894e-05
TFs_and_others_PRDM15,-7.394766933985259e-05
TFs_and_others_MEF2D,-7.951789164490521e-05
TFs_and_others_RBBP7,-8.204343883949488e-05
Histone_H1K85ac,-7.03838866407143e-05
TFs_and_others_SMARCD1,-6.808044201854809e-05
TFs_and_others_SOX3,-7.042547190863645e-05
TFs_and_others_TFB2M,-8.231641748453119e-05
TFs_and_others_ZNF124,-5.523502485197289e-05
TFs_and_others_YY2,-6.332796958581823e-05
TFs_and_others_ZNF586,-6.176350800778301e-05
TFs_and_others_RCOR1,-5.9121003489807414e-05
TFs_and_others_TCF7L2,-6.411949847026466e-05
TFs_and_others_ZNF184,-5.897436525283259e-05
TFs_and_others_FGFR1,-7.468518152664718e-05
TFs_and_others_SFPQ,-8.118146590849353e-05
Histone_H3K122ac,-0.00013491889203558205
TFs_and_others_HMGA1,-8.331386741627141e-05
TFs_and_others_CDK12,-8.600038534630355e-05
TFs_and_others_EMSY,-9.300275285558525e-05
TFs_and_others_BRD2,-0.0001672356174741029
TFs_and_others_BARX1,-0.00010733954388591735
TFs_and_others_ZNF507,-8.529826714274472e-05
TFs_and_others_MAP1LC3B,-8.08878510058198e-05
TFs_and_others_Hepatitis B Virus X antigen,-8.947495873929338e-05
TFs_and_others_ZNF511,-8.318725545633823e-05
TFs_and_others_ZMAT5,-7.206117943363893e-05
TFs_and_others_KDM5D,-8.274180342218589e-05
TFs_and_others_ZFP30,-7.211805821670528e-05
TFs_and_others_ELL2,-7.770917502987343e-05
TFs_and_others_TAZ,-7.857354406699745e-05
TFs_and_others_NKX2-1,-9.481169684271822e-05
TFs_and_others_HOXA13,-7.719905863724647e-05
TFs_and_others_RAG2,-8.160751200146211e-05
TFs_and_others_POLR2C,-8.199761334337321e-05
TFs_and_others_RXRA,-9.492663318779583e-05
TFs_and_others_ZSCAN5C,-8.019622608605923e-05
TFs_and_others_ZBTB20,-6.549549290246728e-05
TFs_and_others_HOXB5,-6.247055800417085e-05
TFs_and_others_PBX2,-6.684440118509431e-05
Histone_H3K14ac,-7.08834634095705e-05
TFs_and_others_SS18,-8.60674507638903e-05
TFs_and_others_BCL6B,-7.480140784146831e-05
TFs_and_others_EVX1,-6.698416499257132e-05
TFs_and_others_ZBTB39,-6.323586650352449e-05
TFs_and_others_ADAR,-7.366843215997415e-05
TFs_and_others_ATAD3A,-6.619374355185604e-05
TFs_and_others_RING1,-7.908839454912788e-05
TFs_and_others_SF3B1,-0.00016194699862332978
TFs_and_others_TGIF2,-0.0001244432453914903
Histone_H3K36me3,-0.00034071607567174043
TFs_and_others_KLF11,-0.00013122039825222342
TFs_and_others_SREBF2,-0.00010588808812501355
TFs_and_others_KAT8,-7.053702053434414e-05
TFs_and_others_HSF1,-5.8873641041962667e-05
TFs_and_others_RUVBL2,-7.608729867989715e-05
TFs_and_others_E2F5,-6.782473496411351e-05
TFs_and_others_ELAVL1,-7.55867649118482e-05
TFs_and_others_PLRG1,-7.042757345053486e-05
Histone_H3K9K14K18K23K27ac,-6.252706366615519e-05
TFs_and_others_SUPT6H,-8.420467534469105e-05
TFs_and_others_NEDD4,-7.05536003759009e-05
TFs_and_others_HOXD9,-7.839500530492491e-05
